,Date,Median Annual Income,Population Estimate
0,2011-04-30,27126.0,428074.0
1,2011-05-31,27057.478142076503,428494.87158469943
2,2011-06-30,26991.166666666668,428902.1666666667
3,2011-07-31,26922.64480874317,429323.0382513661
4,2011-08-31,26854.122950819674,429743.90983606555
5,2011-09-30,26787.811475409835,430151.2049180328
6,2011-10-31,26719.289617486338,430572.07650273223
7,2011-11-30,26652.978142076503,430979.37158469943
8,2011-12-31,26584.456284153006,431400.2431693989
9,2012-01-31,26515.93442622951,431821.11475409835
10,2012-02-29,26451.833333333332,432214.8333333333
11,2012-03-31,26383.311475409835,432635.7049180328
12,2012-04-30,26317.0,433043.0
13,2012-05-31,26466.224657534247,433496.7890410959
14,2012-06-30,26610.635616438358,433935.93972602737
15,2012-07-31,26759.8602739726,434389.7287671233
16,2012-08-31,26909.084931506848,434843.5178082192
17,2012-09-30,27053.49589041096,435282.6684931507
18,2012-10-31,27202.720547945206,435736.45753424655
19,2012-11-30,27347.131506849313,436175.6082191781
20,2012-12-31,27496.35616438356,436629.397260274
21,2013-01-31,27645.580821917807,437083.18630136986
22,2013-02-28,27780.364383561642,437493.06027397263
23,2013-03-31,27929.58904109589,437946.8493150685
24,2013-04-30,28074.0,438386.0
25,2013-05-31,28087.164383561645,438845.05479452055
26,2013-06-30,28099.904109589042,439289.30136986304
27,2013-07-31,28113.068493150684,439748.3561643836
28,2013-08-31,28126.23287671233,440207.41095890413
29,2013-09-30,28138.972602739726,440651.65753424657
30,2013-10-31,28152.13698630137,441110.7123287671
31,2013-11-30,28164.87671232877,441554.9589041096
32,2013-12-31,28178.04109589041,442014.01369863015
33,2014-01-31,28191.205479452055,442473.0684931507
34,2014-02-28,28203.095890410958,442887.69863013696
35,2014-03-31,28216.260273972603,443346.7534246575
36,2014-04-30,28229.0,443791.0
37,2014-05-31,28239.106849315067,444261.26575342467
38,2014-06-30,28248.88767123288,444716.3616438356
39,2014-07-31,28258.994520547945,445186.6273972603
40,2014-08-31,28269.101369863012,445656.89315068495
41,2014-09-30,28278.882191780824,446111.9890410959
42,2014-10-31,28288.98904109589,446582.25479452056
43,2014-11-30,28298.7698630137,447037.3506849315
44,2014-12-31,28308.87671232877,447507.61643835617
45,2015-01-31,28318.983561643836,447977.88219178084
46,2015-02-28,28328.11232876712,448402.6383561644
47,2015-03-31,28338.219178082192,448872.90410958906
48,2015-04-30,28348.0,449328.0
49,2015-05-31,28387.554644808744,449741.7568306011
50,2015-06-30,28425.833333333332,450142.1666666667
51,2015-07-31,28465.387978142076,450555.92349726777
52,2015-08-31,28504.94262295082,450969.68032786885
53,2015-09-30,28543.22131147541,451370.09016393445
54,2015-10-31,28582.775956284153,451783.84699453553
55,2015-11-30,28621.054644808744,452184.2568306011
56,2015-12-31,28660.609289617485,452598.01366120216
57,2016-01-31,28700.16393442623,453011.7704918033
58,2016-02-29,28737.166666666668,453398.8333333333
59,2016-03-31,28776.72131147541,453812.59016393445
60,2016-04-30,28815.0,454213.0
61,2016-05-31,28764.635616438358,454640.9698630137
62,2016-06-30,28715.89589041096,455055.13424657536
63,2016-07-31,28665.531506849315,455483.10410958907
64,2016-08-31,28615.167123287672,455911.0739726027
65,2016-09-30,28566.427397260275,456325.23835616437
66,2016-10-31,28516.06301369863,456753.2082191781
67,2016-11-30,28467.32328767123,457167.3726027397
68,2016-12-31,28416.95890410959,457595.34246575343
69,2017-01-31,28366.594520547944,458023.31232876715
70,2017-02-28,28321.10410958904,458409.86575342464
71,2017-03-31,28270.739726027397,458837.83561643836
72,2017-04-30,28222.0,459252.0
73,2017-05-31,28399.931506849316,459604.7205479452
74,2017-06-30,28572.12328767123,459946.0630136986
75,2017-07-31,28750.054794520547,460298.78356164385
76,2017-08-31,28927.986301369863,460651.50410958903
77,2017-09-30,29100.178082191782,460992.84657534247
78,2017-10-31,29278.109589041094,461345.56712328765
79,2017-11-30,29450.301369863013,461686.9095890411
80,2017-12-31,29628.23287671233,462039.6301369863
81,2018-01-31,29806.164383561645,462392.3506849315
82,2018-02-28,29966.87671232877,462710.9369863014
83,2018-03-31,30144.80821917808,463063.65753424657
84,2018-04-30,30317.0,463405.0
85,2018-05-31,30357.59726027397,463402.6219178082
86,2018-06-30,30396.88493150685,463400.3205479452
87,2018-07-31,30437.482191780822,463397.9424657534
88,2018-08-31,30478.079452054793,463395.56438356166
89,2018-09-30,30517.36712328767,463393.2630136986
90,2018-10-31,30557.964383561644,463390.8849315068
91,2018-11-30,30597.25205479452,463388.58356164384
92,2018-12-31,30637.84931506849,463386.20547945204
93,2019-01-31,30678.446575342467,463383.8273972603
94,2019-02-28,30715.11506849315,463381.6794520548
95,2019-03-31,30755.712328767124,463379.30136986304
96,2019-04-30,30795.0,463377.0
97,2019-05-31,30980.237704918032,463587.81693989073
98,2019-06-30,31159.5,463791.8333333333
99,2019-07-31,31344.737704918032,464002.65027322405
100,2019-08-31,31529.975409836065,464213.4672131148
101,2019-09-30,31709.237704918032,464417.48360655736
102,2019-10-31,31894.475409836065,464628.3005464481
103,2019-11-30,32073.737704918032,464832.31693989073
104,2019-12-31,32258.975409836065,465043.1338797814
105,2020-01-31,32444.2131147541,465253.95081967214
106,2020-02-29,32617.5,465451.1666666667
107,2020-03-31,32802.737704918036,465661.98360655736
108,2020-04-30,32982.0,465866.0
109,2020-05-31,32941.06301369863,465868.88767123286
110,2020-06-30,32901.44657534247,465871.6821917808
111,2020-07-31,32860.509589041096,465874.5698630137
112,2020-08-31,32819.572602739725,465877.45753424655
113,2020-09-30,32779.95616438356,465880.2520547945
114,2020-10-31,32739.01917808219,465883.1397260274
115,2020-11-30,32699.40273972603,465885.93424657534
116,2020-12-31,32658.465753424658,465888.8219178082
117,2021-01-31,32617.528767123287,465891.7095890411
118,2021-02-28,32580.553424657533,465894.3178082192
119,2021-03-31,32539.616438356163,465897.20547945204
120,2021-04-30,32500.0,465900.0
