Date,CPI,Median Annual Income,Population Estimate,Petrol Price,Diesel Price,Google Search Index,All Cars,ULEV,Grants,Charging Points
2011-10-31,94.5,26719.28962,430572.0765,1.3473,1.4027,23.0,206427.0,31.0,0.0,0.0
2011-11-30,94.6,26652.97814,430979.3716,1.3317,1.411,22.0,207544.0,31.0,0.0,0.0
2011-12-31,95.1,26584.45628,431400.2432,1.3241,1.4077,12.0,208700.0,31.0,0.0,0.0
2012-01-31,94.6,26515.93443,431821.1148,1.341,1.4245,21.0,209690.0,31.0,0.0,0.0
2012-02-29,95.1,26451.83333,432214.8333,1.3621,1.4392,26.0,210618.0,33.0,0.0,0.0
2012-03-31,95.4,26383.31148,432635.7049,1.3948,1.4656,29.0,211609.0,36.0,0.0,0.0
2012-04-30,96.0,26317.0,433043.0,1.41,1.4705,24.0,212568.0,39.0,0.0,0.0
2012-05-31,95.9,26466.22466,433496.789,1.3437,1.4049,28.0,213559.0,43.0,0.0,0.0
2012-06-30,95.5,26610.63562,433935.9397,1.3155,1.372,23.0,214518.0,48.0,0.0,0.0
2012-07-31,95.6,26759.86027,434389.7288,1.3278,1.3825,16.0,215509.0,53.0,0.0,0.0
2012-08-31,96.1,26909.08493,434843.5178,1.371,1.4217,17.0,216500.0,57.0,0.0,0.0
2012-09-30,96.5,27053.49589,435282.6685,1.3954,1.4436,23.0,217459.0,60.0,0.0,0.0
2012-10-31,97.0,27202.72055,435736.4575,1.3698,1.43,30.0,218450.0,65.0,0.0,0.0
2012-11-30,97.2,27347.13151,436175.6082,1.3438,1.4113,20.0,219409.0,67.0,0.0,0.0
2012-12-31,97.6,27496.35616,436629.3973,1.3192,1.3981,21.0,220400.0,70.0,0.0,0.0
2013-01-31,97.1,27645.58082,437083.1863,1.3295,1.4077,16.0,221376.0,73.0,0.0,0.0
2013-02-28,97.8,27780.36438,437493.0603,1.385,1.4555,19.0,222258.0,76.0,0.0,0.0
2013-03-31,98.1,27929.58904,437946.8493,1.3709,1.4433,15.0,223235.0,80.0,0.0,0.0
2013-04-30,98.3,28074.0,438386.0,1.3466,1.3959,19.0,224180.0,84.0,0.0,0.0
2013-05-31,98.5,28087.16438,438845.0548,1.3364,1.3882,17.0,225157.0,88.0,0.0,0.0
2013-06-30,98.3,28099.90411,439289.3014,1.3452,1.3964,18.0,226102.0,93.0,0.0,0.0
2013-07-31,98.3,28113.06849,439748.3562,1.3687,1.4144,20.0,227079.0,98.0,0.0,0.0
2013-08-31,98.7,28126.23288,440207.411,1.3683,1.4178,11.0,228056.0,100.0,0.0,0.0
2013-09-30,99.1,28138.9726,440651.6575,1.334,1.4019,16.0,229001.0,103.0,0.0,0.0
2013-10-31,99.1,28152.13699,441110.7123,1.3142,1.3888,19.0,229978.0,106.0,0.0,0.0
2013-11-30,99.2,28164.87671,441554.9589,1.3003,1.3772,18.0,230923.0,116.0,0.0,0.0
2013-12-31,99.6,28178.0411,442014.0137,1.3003,1.3798,19.0,231900.0,127.0,0.0,0.0
2014-01-31,99.0,28191.20548,442473.0685,1.2902,1.3694,20.0,232961.0,138.0,0.0,0.0
2014-02-28,99.5,28203.09589,442887.6986,1.292,1.3695,20.0,233920.0,142.0,0.0,0.0
2014-03-31,99.7,28216.26027,443346.7534,1.2876,1.3589,19.0,234982.0,147.0,0.0,0.0
2014-04-30,100.1,28229.0,443791.0,1.2909,1.3593,19.0,236009.0,153.0,0.0,0.0
2014-05-31,100.0,28239.10685,444261.2658,1.2951,1.3636,14.0,237071.0,163.0,0.0,0.0
2014-06-30,100.2,28248.88767,444716.3616,1.3069,1.3604,22.0,238098.0,173.0,0.0,0.0
2014-07-31,99.9,28258.99452,445186.6274,1.3083,1.355,19.0,239160.0,184.0,0.0,0.0
2014-08-31,100.2,28269.10137,445656.8932,1.2834,1.3316,15.0,240221.0,198.0,0.0,0.0
2014-09-30,100.3,28278.88219,446111.989,1.2859,1.3323,19.0,241249.0,213.0,0.0,0.0
2014-10-31,100.4,28288.98904,446582.2548,1.2511,1.2972,19.0,242310.0,228.0,0.0,0.0
2014-11-30,100.1,28298.76986,447037.3507,1.2229,1.2717,23.0,243338.0,243.0,0.0,0.0
2014-12-31,100.1,28308.87671,447507.6164,1.1316,1.2036,15.0,244400.0,259.0,0.0,0.0
2015-01-31,99.3,28318.98356,447977.8822,1.0632,1.1376,16.0,245359.0,275.0,0.0,0.0
2015-02-28,99.5,28328.11233,448402.6384,1.0834,1.1574,19.0,246226.0,282.0,0.0,0.0
2015-03-31,99.7,28338.21918,448872.9041,1.1206,1.1897,22.0,247186.0,290.0,0.0,0.0
2015-04-30,99.9,28348.0,449328.0,1.1355,1.1958,16.0,248115.0,299.0,0.0,0.0
2015-05-31,100.1,28387.55464,449741.7568,1.1602,1.2132,17.0,249074.0,312.0,0.0,0.0
2015-06-30,100.2,28425.83333,450142.1667,1.1655,1.2099,22.0,250003.0,325.0,0.0,0.0
2015-07-31,100.0,28465.38798,450555.9235,1.1644,1.1695,16.0,250963.0,339.0,0.0,0.0
2015-08-31,100.3,28504.94262,450969.6803,1.1121,1.0992,20.0,251923.0,349.0,0.0,0.0
2015-09-30,100.2,28543.22131,451370.0902,1.0947,1.1045,20.0,252851.0,358.0,0.0,0.0
2015-10-31,100.3,28582.77596,451783.847,1.0804,1.1061,18.0,253811.0,369.0,0.0,0.0
2015-11-30,100.3,28621.05464,452184.2568,1.0697,1.1001,18.0,254740.0,393.0,0.0,0.0
2015-12-31,100.3,28660.60929,452598.0137,1.0211,1.0643,20.0,255700.0,419.0,0.0,0.0
2016-01-31,99.6,28700.16393,453011.7705,1.0142,1.0154,20.0,256521.0,445.0,0.0,0.0
2016-02-29,99.8,28737.16667,453398.8333,1.0142,1.0138,19.0,257290.0,469.0,0.0,0.0
2016-03-31,100.2,28776.72131,453812.5902,1.034,1.044,24.0,258111.0,495.0,0.0,0.0
2016-04-30,100.2,28815.0,454213.0,1.0714,1.0767,29.0,258906.0,520.0,0.0,0.0
2016-05-31,100.4,28764.63562,454640.9699,1.0979,1.107,25.0,259728.0,546.0,0.0,0.0
2016-06-30,100.6,28715.89589,455055.1342,1.1144,1.1256,22.0,260523.0,571.0,0.0,0.0
2016-07-31,100.6,28665.53151,455483.1041,1.1169,1.1289,24.0,261345.0,598.0,0.0,0.0
2016-08-31,100.9,28615.16712,455911.074,1.1043,1.1255,24.0,262166.0,634.0,0.0,0.0
2016-09-30,101.2,28566.4274,456325.2384,1.1136,1.1338,26.0,262961.0,670.0,0.0,0.0
2016-10-31,101.2,28516.06301,456753.2082,1.1602,1.1842,20.0,263783.0,707.0,0.0,0.0
2016-11-30,101.5,28467.32329,457167.3726,1.1372,1.1657,27.0,264578.0,747.0,0.0,0.0
2016-12-31,101.9,28416.9589,457595.3425,1.1545,1.1903,22.0,265400.0,789.0,0.0,0.0
2017-01-31,101.4,28366.59452,458023.3123,1.2001,1.2319,26.0,258274.0,832.0,0.0,0.0
2017-02-28,102.1,28321.10411,458409.8658,1.2012,1.2306,35.0,251838.0,853.0,0.0,0.0
2017-03-31,102.5,28270.73973,458837.8356,1.1803,1.2108,35.0,244712.0,877.0,0.0,0.0
2017-04-30,102.9,28222.0,459252.0,1.1815,1.2077,32.0,237816.0,901.0,0.0,0.0
2017-05-31,103.3,28399.93151,459604.7205,1.1579,1.1788,34.0,230690.0,798.0,0.0,0.0
2017-06-30,103.3,28572.12329,459946.063,1.1443,1.1626,27.0,223794.0,700.0,0.0,0.0
2017-07-31,103.2,28750.05479,460298.7836,1.1416,1.1599,51.0,216669.0,598.0,0.0,0.0
2017-08-31,103.8,28927.9863,460651.5041,1.164,1.1824,48.0,209543.0,565.0,0.0,0.0
2017-09-30,104.1,29100.17808,460992.8466,1.1813,1.2037,47.0,202647.0,533.0,0.0,0.0
2017-10-31,104.2,29278.10959,461345.5671,1.1706,1.2063,46.0,195521.0,501.0,0.0,0.0
2017-11-30,104.6,29450.30137,461686.9096,1.2013,1.2379,44.0,188625.0,530.0,0.0,0.0
2017-12-31,104.9,29628.23288,462039.6301,1.2,1.2343,40.0,181500.0,560.0,0.0,0.0
2018-01-31,104.4,29806.16438,462392.3507,1.2169,1.2532,51.0,181567.0,590.0,0.0,0.0
2018-02-28,104.9,29966.87671,462710.937,1.1955,1.2309,44.0,181629.0,611.0,0.0,0.0
2018-03-31,105.0,30144.80822,463063.6575,1.1923,1.229,39.0,181697.0,635.0,0.0,0.0
2018-04-30,105.4,30317.0,463405.0,1.2222,1.2601,45.0,181763.0,658.0,0.0,0.0
2018-05-31,105.8,30357.59726,463402.6219,1.2758,1.3166,43.0,181830.0,672.0,0.0,0.0
2018-06-30,105.8,30396.88493,463400.3205,1.2718,1.3127,40.0,181896.0,685.0,0.0,0.0
2018-07-31,105.8,30437.48219,463397.9425,1.2754,1.3194,43.0,181964.0,700.0,0.0,0.0
2018-08-31,106.5,30478.07945,463395.5644,1.2918,1.332,45.0,182032.0,718.0,0.0,0.0
2018-09-30,106.6,30517.36712,463393.263,1.3059,1.3477,41.0,182098.0,737.0,0.0,0.0
2018-10-31,106.7,30557.96438,463390.8849,1.3064,1.3699,48.0,182166.0,756.0,0.0,0.0
2018-11-30,107.0,30597.25205,463388.5836,1.2577,1.3543,51.0,182232.0,774.0,0.0,0.0
2018-12-31,107.1,30637.84932,463386.2055,1.2018,1.3026,42.0,182300.0,793.0,0.0,0.0
2019-01-31,106.3,30678.44658,463383.8274,1.1929,1.291,49.0,182376.0,813.0,0.0,3.0
2019-02-28,106.8,30715.11507,463381.6795,1.1922,1.2966,56.0,182445.0,835.0,0.0,7.0
2019-03-31,107.0,30755.71233,463379.3014,1.2083,1.3115,59.0,182521.0,860.0,0.0,11.0
2019-04-30,107.6,30795.0,463377.0,1.2636,1.346,54.0,182595.0,884.0,0.0,15.0
2019-05-31,107.9,30980.2377,463587.8169,1.2914,1.3645,64.0,182672.0,928.0,0.0,19.0
2019-06-30,107.9,31159.5,463791.8333,1.2666,1.3181,57.0,182746.0,970.0,0.0,23.0
2019-07-31,107.9,31344.7377,464002.6503,1.2803,1.326,57.0,182822.0,1015.0,0.0,26.0
2019-08-31,108.4,31529.97541,464213.4672,1.2822,1.3251,59.0,182899.0,1064.0,0.0,30.0
2019-09-30,108.5,31709.2377,464417.4836,1.2692,1.3183,55.0,182973.0,1113.0,0.0,34.0
2019-10-31,108.3,31894.47541,464628.3005,1.2577,1.306,84.0,183049.0,1163.0,0.0,38.0
2019-11-30,108.5,32073.7377,464832.3169,1.2532,1.3008,76.0,183123.0,1217.0,0.0,42.0
2019-12-31,108.5,32258.97541,465043.1339,1.2496,1.3054,75.0,183200.0,1273.0,0.0,46.0
2020-01-31,108.2,32444.21311,465253.9508,1.2733,1.3288,85.0,183115.0,1330.0,0.0,50.0
2020-02-29,108.6,32617.5,465451.1667,1.2345,1.2767,100.0,183036.0,1359.0,0.0,54.0
2020-03-31,108.6,32802.7377,465661.9836,1.1245,1.186,68.0,182951.0,1390.0,0.0,58.0
2020-04-30,108.5,32982.0,465866.0,1.0788,1.1522,40.0,182869.0,1420.0,0.0,61.0
2020-05-31,108.6,32941.06301,465868.8877,1.0487,1.117,51.0,182784.0,1494.0,0.0,65.0
2020-06-30,109.1,32901.44658,465871.6822,1.0831,1.141,66.0,182702.0,1566.0,0.0,69.0
2020-07-31,109.1,32860.50959,465874.5699,1.1266,1.1776,72.0,182618.0,1641.0,0.0,73.0
2020-08-31,108.6,32819.5726,465877.4575,1.1329,1.1818,65.0,182533.0,1719.0,0.0,77.0
2020-09-30,109.1,32779.95616,465880.2521,1.133,1.1814,79.0,182451.0,1795.0,0.0,81.0
2020-10-31,109.1,32739.01918,465883.1397,1.1314,1.1808,72.0,182366.0,1874.0,0.0,85.0
2020-11-30,108.9,32699.40274,465885.9342,1.1261,1.1741,85.0,182284.0,1919.0,0.0,89.0
2020-12-31,109.2,32658.46575,465888.8219,1.1491,1.1965,68.0,182200.0,1966.0,0.0,93.0
2021-01-31,109.0,32617.52877,465891.7096,1.181,1.227,84.0,,2014.0,0.0,96.0
2021-02-28,109.1,32580.55342,465894.3178,1.2127,1.2571,90.0,,2100.0,0.0,100.0
2021-03-31,109.4,32539.61644,465897.2055,1.2513,1.2932,81.0,,2195.0,0.0,104.0
2021-04-30,110.1,32500.0,465900.0,1.258,1.2977,79.0,,2288.0,0.0,108.0
2021-05-31,110.8,,,1.2815,1.3182,74.0,,2385.0,0.0,112.0
2021-06-30,111.3,,,1.3073,1.3427,71.0,,2480.0,0.0,116.0
2021-07-31,111.3,,,1.3348,1.362,72.0,,2578.0,0.0,120.0
2021-08-31,,,,,,,,,,
2021-09-30,,,,,,,,,,
2021-10-31,,,,,,,,,,
2021-11-30,,,,,,,,,,
2021-12-31,,,,,,,,,,
2022-01-31,,,,,,,,,,
2022-02-28,,,,,,,,,,
2022-03-31,,,,,,,,,,
2022-04-30,,,,,,,,,,
2022-05-31,,,,,,,,,,
2022-06-30,,,,,,,,,,
2022-07-31,,,,,,,,,,
2022-08-31,,,,,,,,,,
2022-09-30,,,,,,,,,,
2022-10-31,,,,,,,,,,
2022-11-30,,,,,,,,,,
2022-12-31,,,,,,,,,,
2023-01-31,,,,,,,,,,
2023-02-28,,,,,,,,,,
2023-03-31,,,,,,,,,,
2023-04-30,,,,,,,,,,
2023-05-31,,,,,,,,,,
2023-06-30,,,,,,,,,,
2023-07-31,,,,,,,,,,
2023-08-31,,,,,,,,,,
2023-09-30,,,,,,,,,,
2023-10-31,,,,,,,,,,
2023-11-30,,,,,,,,,,
2023-12-31,,,,,,,,,,
2024-01-31,,,,,,,,,,
2024-02-29,,,,,,,,,,
2024-03-31,,,,,,,,,,
2024-04-30,,,,,,,,,,
2024-05-31,,,,,,,,,,
2024-06-30,,,,,,,,,,
2024-07-31,,,,,,,,,,
2024-08-31,,,,,,,,,,
2024-09-30,,,,,,,,,,
2024-10-31,,,,,,,,,,
2024-11-30,,,,,,,,,,
2024-12-31,,,,,,,,,,
2025-01-31,,,,,,,,,,
2025-02-28,,,,,,,,,,
2025-03-31,,,,,,,,,,
2025-04-30,,,,,,,,,,
2025-05-31,,,,,,,,,,
2025-06-30,,,,,,,,,,
2025-07-31,,,,,,,,,,
2025-08-31,,,,,,,,,,
2025-09-30,,,,,,,,,,
2025-10-31,,,,,,,,,,
2025-11-30,,,,,,,,,,
2025-12-31,,,,,,,,,,
2026-01-31,,,,,,,,,,
2026-02-28,,,,,,,,,,
2026-03-31,,,,,,,,,,
2026-04-30,,,,,,,,,,
2026-05-31,,,,,,,,,,
2026-06-30,,,,,,,,,,
2026-07-31,,,,,,,,,,
2026-08-31,,,,,,,,,,
2026-09-30,,,,,,,,,,
2026-10-31,,,,,,,,,,
2026-11-30,,,,,,,,,,
2026-12-31,,,,,,,,,,
2027-01-31,,,,,,,,,,
2027-02-28,,,,,,,,,,
2027-03-31,,,,,,,,,,
2027-04-30,,,,,,,,,,
2027-05-31,,,,,,,,,,
2027-06-30,,,,,,,,,,
2027-07-31,,,,,,,,,,
2027-08-31,,,,,,,,,,
2027-09-30,,,,,,,,,,
2027-10-31,,,,,,,,,,
2027-11-30,,,,,,,,,,
2027-12-31,,,,,,,,,,
